Transaction ID,Date,Customer ID,Revenue ($),Cost ($),Region,Data Source,Revenue Category,Customer Type
32,2023-03-16,1167,333.77,197.55,Seattle,Google Sheets,Placement Fee,Resident
33,2024-07-13,3089,470.37,227.19,Dallas,Google Sheets,Management Fee,Other
34,2024-11-02,2902,390.72,244.71,New York,Excel,Placement Fee,Homeowner
35,2023-04-28,3151,96.55,43.72,Seattle,BigQuery,Management Fee,Resident
36,2024-09-03,2868,154.02,64.56,New York,Google Sheets,In-Home Service,Homeowner
37,2024-01-15,4275,227.38,123.71,Seattle,BigQuery,Management Fee,Other
38,2024-11-09,3567,126.55,51.64,Bay Area,Excel,Other,Other
39,2023-10-17,2998,272.71,147.77,Bay Area,Google Sheets,Other,Resident
40,2024-03-15,3329,262.12,204.01,New York,Google Sheets,In-Home Service,Resident
41,2024-10-29,4979,480.32,345.78,Los Angeles,BigQuery,Other,Homeowner
42,2023-01-07,4114,245.18,188.99,Miami,BigQuery,Management Fee,Other
43,2023-07-15,3994,403.53,283.75,Miami,RDS,Management Fee,Homeowner
44,2024-02-25,2133,473.86,226.21,Dallas,RDS,In-Home Service,Resident
45,2024-07-21,3010,444.64,313.93,Los Angeles,Google Sheets,Management Fee,Resident
46,2023-07-12,4281,143.9,109.57,Miami,RDS,In-Home Service,Homeowner
47,2024-07-12,1748,273.21,211.33,Seattle,Google Sheets,In-Home Service,Other
48,2023-05-28,2891,206.48,132.48,Seattle,BigQuery,Other,Resident
49,2024-10-30,1830,229.94,93.28,Miami,RDS,Other,Other
50,2023-07-21,1048,212.36,,Seattle,Google Sheets,Management Fee,Resident
51,2024-03-19,1114,421.86,157.61,New York,BigQuery,Other,Other
52,2024-02-23,2178,253.46,198.4,Seattle,Google Sheets,In-Home Service,Resident
53,2024-03-02,2672,285.66,151.7,New York,Excel,Placement Fee,Other
54,2024-04-23,3550,492.1,358.0,Dallas,RDS,Other,Other
55,2024-04-19,4750,76.99,41.0,Seattle,Excel,Other,Resident
56,2023-05-06,4904,269.58,169.95,New York,BigQuery,Placement Fee,Other
57,2024-01-30,4782,,124.31,Miami,Google Sheets,Management Fee,Other
58,2024-07-29,4033,118.02,50.15,Bay Area,Google Sheets,In-Home Service,Resident
59,2023-11-21,1070,325.19,168.49,Seattle,BigQuery,Placement Fee,Homeowner
60,2024-01-27,4059,157.76,97.07,Miami,Excel,Placement Fee,Resident
61,2024-11-18,4590,440.33,169.86,Seattle,Google Sheets,In-Home Service,Homeowner
62,2024-09-19,4783,197.19,134.54,Los Angeles,Excel,Placement Fee,Resident
63,2024-03-15,2359,198.08,95.51,New York,Excel,Placement Fee,Homeowner
64,2023-07-23,1066,319.19,226.22,Dallas,Excel,Other,Homeowner
65,2024-04-30,2516,132.6,46.28,Bay Area,RDS,Management Fee,Resident
66,2023-01-31,2673,178.2,114.03,New York,Excel,Management Fee,Other
67,2024-01-23,2777,,106.07,Seattle,RDS,Other,Resident
68,2024-09-16,1966,209.14,145.92,Miami,Excel,Other,Homeowner
69,2024-03-09,4284,286.19,143.41,Bay Area,Excel,In-Home Service,Homeowner
70,2024-01-11,3228,319.84,202.35,Seattle,RDS,In-Home Service,Homeowner
71,2023-12-10,2789,305.0,233.98,Los Angeles,Google Sheets,Placement Fee,Resident
72,2024-03-18,1612,344.38,106.87,Miami,Google Sheets,Management Fee,Homeowner
73,2024-08-01,2886,188.49,57.59,Dallas,BigQuery,In-Home Service,Other
74,2023-03-16,2622,106.89,73.23,Seattle,BigQuery,Placement Fee,Other
75,2024-07-10,1696,392.36,244.52,Miami,Google Sheets,Management Fee,Other
76,2024-10-27,3650,432.85,193.26,Seattle,BigQuery,In-Home Service,Resident
77,2023-06-04,3295,165.65,90.64,Dallas,Google Sheets,Management Fee,Other
78,2024-03-05,2237,233.19,74.85,Los Angeles,BigQuery,Placement Fee,Resident
79,2023-12-29,3406,274.36,108.71,New York,Google Sheets,Other,Homeowner
80,2024-03-23,1248,290.0,148.55,Dallas,RDS,Placement Fee,Resident
81,2023-08-22,1637,346.77,248.64,Dallas,BigQuery,Other,Other
82,2024-07-16,4994,68.72,37.1,Dallas,RDS,Other,Resident
83,2023-09-19,1949,374.66,222.24,New York,RDS,Placement Fee,Resident
84,2023-05-05,2904,77.89,57.4,Bay Area,RDS,Other,Resident
85,2023-09-02,4587,260.73,118.48,Miami,RDS,Management Fee,Resident
86,2024-06-25,2111,422.45,274.74,Seattle,RDS,In-Home Service,Homeowner
87,2024-04-29,3710,253.05,184.94,New York,Excel,In-Home Service,Resident
88,2023-05-02,1175,117.09,46.99,Los Angeles,RDS,Placement Fee,Resident
89,2023-05-05,1722,493.27,235.9,Seattle,BigQuery,Placement Fee,Resident
90,2024-07-02,3473,450.18,355.6,Bay Area,RDS,Placement Fee,Homeowner
91,2023-06-19,4842,397.09,314.34,Los Angeles,BigQuery,Placement Fee,Homeowner
92,2023-05-04,4674,235.18,,Bay Area,RDS,Management Fee,Homeowner
93,2023-02-04,1770,132.73,,Seattle,BigQuery,Placement Fee,Resident
94,2023-03-28,2947,473.64,206.25,Los Angeles,RDS,Placement Fee,Resident
95,2024-10-07,1702,289.56,144.45,New York,Google Sheets,In-Home Service,Homeowner
96,2024-12-08,3128,433.56,225.67,Seattle,Excel,Management Fee,Resident
97,2023-07-20,1926,203.94,124.28,Miami,BigQuery,Placement Fee,Resident
98,2024-01-04,1137,200.88,150.61,Bay Area,BigQuery,Management Fee,Homeowner
99,2023-03-18,4504,,229.56,Miami,RDS,Placement Fee,Homeowner
100,2023-02-28,3517,284.82,206.49,Miami,BigQuery,Management Fee,Other
101,2024-03-06,3397,113.31,39.29,Seattle,RDS,Placement Fee,Homeowner
102,2024-09-29,2149,148.85,47.77,Seattle,Excel,Placement Fee,Homeowner
103,2024-05-14,4952,266.87,147.32,Dallas,Google Sheets,Management Fee,Homeowner
104,2023-04-19,2940,69.11,22.79,Dallas,Google Sheets,Placement Fee,Homeowner
105,2023-10-05,2891,258.14,128.1,Los Angeles,Excel,Placement Fee,Resident
106,2023-03-09,4380,238.52,178.51,Seattle,RDS,Management Fee,Homeowner
107,2023-03-10,2878,400.7,168.59,Bay Area,RDS,In-Home Service,Resident
108,2023-06-14,2253,209.72,136.94,Seattle,Excel,Other,Resident
109,2024-05-03,2483,492.15,222.05,Seattle,BigQuery,In-Home Service,Homeowner
110,2023-11-01,2368,131.35,42.36,New York,BigQuery,Placement Fee,Homeowner
111,2024-11-04,1309,315.94,182.72,Miami,BigQuery,Management Fee,Other
112,2023-12-31,2043,90.36,,Miami,Excel,In-Home Service,Resident
113,2024-01-14,4952,380.24,191.92,Dallas,Google Sheets,Management Fee,Homeowner
114,2023-12-09,4632,497.64,302.89,New York,Google Sheets,In-Home Service,Resident
115,2024-07-07,4049,418.61,313.96,Los Angeles,Google Sheets,Other,Other
116,2023-12-20,2670,,208.5,Los Angeles,RDS,Placement Fee,Homeowner
117,2024-02-20,2564,268.13,106.43,Seattle,Excel,Management Fee,Other
118,2023-04-19,2583,425.76,283.85,New York,BigQuery,Placement Fee,Resident
119,2024-07-16,2500,471.19,259.6,Bay Area,Google Sheets,Placement Fee,Other
120,2024-05-11,3316,495.14,333.22,Miami,Google Sheets,Other,Other
121,2023-12-07,4074  ,228.44,125.02,Bay Area,Google Sheets,Other,Resident
122,2024-01-18,1769,495.91,180.5,New York,RDS,Placement Fee,Resident
123,2024-06-16,1015,120.17,70.29,Miami,RDS,Management Fee,Resident
124,2023-10-27,1605,164.1,89.61,New York,BigQuery,Other,Resident
125,2023-05-19,2381,90.06,50.34,New York,Google Sheets,Other,Resident
126,2023-12-25,4717,172.28,127.39,Seattle,Google Sheets,Other,Resident
127,2024-05-13,1812,395.57,295.66,Los Angeles,Google Sheets,In-Home Service,Other
128,2024-01-20,4910,,,New York,RDS,Other,Resident
129,2024-08-26,4204,400.5,211.41,Seattle,BigQuery,Placement Fee,Resident
130,2023-10-07,4383,333.98,186.23,Miami,Excel,Management Fee,Resident
131,2024-09-28,2990,281.28,157.46,New York,RDS,In-Home Service,Resident
132,2024-04-27,3529,368.92,285.98,Los Angeles,Google Sheets,Other,Homeowner
133,2023-04-21,1894,225.88,141.11,Bay Area,BigQuery,Placement Fee,Other
134,2023-05-19,2567,,188.03,Bay Area,BigQuery,In-Home Service,Other
135,2024-03-10,4376,354.74,200.7,Dallas,Excel,In-Home Service,Homeowner
136,2024-05-23,3316,,223.36,Bay Area,Google Sheets,Management Fee,Other
137,2023-09-30,1413,291.17,180.49,Dallas,RDS,Other,Other
138,2023-04-09,1024,448.35,265.7,Los Angeles,RDS,Management Fee,Resident
139,2023-04-14,3004,163.41,63.54,Seattle,RDS,Management Fee,Other
140,2023-08-02,1315,221.52,70.18,New York,Google Sheets,In-Home Service,Homeowner
141,2024-10-25,1570,399.94,187.54,New York,Google Sheets,Other,Other
142,2023-06-14,1724,271.74,139.61,Seattle,Google Sheets,In-Home Service,Homeowner
143,2024-06-03,4739,450.15,148.96,New York,RDS,Management Fee,Homeowner
144,2023-10-11,4055,205.88,,Los Angeles,Google Sheets,In-Home Service,Other
145,2024-05-31,2849,216.2,102.05,New York,Google Sheets,In-Home Service,Resident
146,2024-10-18,2299,449.93,340.51,New York,Google Sheets,In-Home Service,Homeowner
147,2024-09-04,2953,258.97,97.68,Los Angeles,Excel,Management Fee,Other
148,2023-06-13,1388,282.26,92.71,Miami,Excel,Placement Fee,Other
149,2024-10-20,3769,199.74,108.09,Bay Area,Google Sheets,Placement Fee,Resident
150,2023-03-05,1443,174.5,68.85,Bay Area,Google Sheets,Management Fee,Resident
151,2023-04-01,4046,345.18,265.34,Bay Area,RDS,Other,Other
152,2023-04-27,4498,103.93,31.71,Dallas,BigQuery,In-Home Service,Resident
153,2023-09-24,4128,445.67,225.65,Bay Area,Google Sheets,Management Fee,Homeowner
154,2024-11-15,3744,400.64,305.84,New York,RDS,Placement Fee,Other
155,2024-07-12,1970,135.84,66.86,New York,RDS,Management Fee,Resident
156,2023-05-20,4637,362.31,125.56,Miami,BigQuery,Placement Fee,Other
157,2023-09-03,3768,321.18,145.0,Seattle,RDS,Other,Resident
158,2024-10-22,3415,133.04,73.04,Seattle,BigQuery,Placement Fee,Homeowner
159,2024-01-30,2964,172.94,67.89,New York,Google Sheets,Other,Other
160,2024-05-01,3389,234.04,124.81,Dallas,Excel,Other,Resident
161,2024-04-20,2828,364.66,261.89,Miami,BigQuery,Other,Homeowner
162,2024-05-31,4923,337.43,248.45,Los Angeles,Google Sheets,Management Fee,Homeowner
163,2023-07-03,1303,289.51,93.98,New York,Google Sheets,Management Fee,Resident
164,2023-01-20,1763,395.78,150.58,Seattle,Excel,Other,Other
165,2024-07-11,4445,391.07,171.15,Miami,RDS,Placement Fee,Resident
166,2024-06-07,2973,328.04,195.98,Los Angeles,BigQuery,In-Home Service,Resident
167,2024-08-04,1815,404.15,194.19,Dallas,BigQuery,In-Home Service,Homeowner
168,2024-06-12,3159,200.42,144.71,New York,RDS,Placement Fee,Resident
169,2023-05-27,1877,446.56,293.99,Bay Area,Excel,In-Home Service,Resident
170,2024-10-27,4077,326.71,,New York,BigQuery,Placement Fee,Other
171,2023-10-31,3977,420.06,257.19,Miami,BigQuery,Placement Fee,Resident
172,2024-09-11,1702,295.83,105.47,New York,RDS,Other,Other
173,2024-08-04,3893,148.3,63.4,Seattle,Google Sheets,Placement Fee,Resident
174,2024-11-25,1943,294.08,114.38,Dallas,Excel,Management Fee,Homeowner
175,2023-08-16,3326,217.0,83.88,New York,Google Sheets,Management Fee,Resident
176,2023-04-12,3429,363.87,221.3,Miami,Google Sheets,Management Fee,Other
177,2024-08-09,4923,264.11,153.66,Dallas,RDS,Placement Fee,Other
178,2024-02-21,3060,426.25,165.39,Los Angeles,BigQuery,Management Fee,Resident
179,2023-08-04,1302,355.13,282.36,Miami,RDS,Other,Resident
180,2024-02-11,2579,358.04,182.93,New York,Google Sheets,Other,Resident
181,2024-02-03,4688,147.72,51.49,New York,RDS,In-Home Service,Other
182,2024-12-15,1159,,177.59,Bay Area,Excel,In-Home Service,Other
183,2024-12-04,3201,428.75,253.8,Los Angeles,Google Sheets,Other,Homeowner
184,2024-05-13,3801,405.05,319.8,Bay Area,Google Sheets,Management Fee,Resident
185,2024-04-09,3228,198.6,116.37,Dallas,Excel,Other,Other
186,2024-11-21,4597,291.03,225.41,Bay Area,RDS,Management Fee,Other
187,2023-03-23,2203,,58.31,Los Angeles,RDS,Placement Fee,Other
188,2024-08-26,3424,,151.39,Los Angeles,RDS,Management Fee,Other
189,2024-11-17,4875,115.65,63.61,Los Angeles,BigQuery,Management Fee,Homeowner
190,2023-12-31,3823,298.87,193.88,New York,Google Sheets,Management Fee,Other
191,2023-06-12,2191,341.92,165.42,Dallas,Excel,Placement Fee,Other
192,2023-02-17,4285,225.59,165.12,Seattle,Google Sheets,Other,Resident
193,2024-05-25,2173,274.35,86.32,Dallas,BigQuery,In-Home Service,Homeowner
194,2023-11-25,3063,444.04,230.85,Los Angeles,Google Sheets,Placement Fee,Homeowner
195,2023-04-26,2114,98.85,54.91,Dallas,Excel,Management Fee,Homeowner
196,2023-12-03,2143,406.28,245.2,Miami,Excel,Management Fee,Resident
197,2023-05-27,2979,126.84,55.56,Miami,Google Sheets,In-Home Service,Homeowner
198,2024-07-28,1252,66.52,34.17,Seattle,BigQuery,Management Fee,Other
199,2023-11-19,4131,133.51,72.4,Dallas,Google Sheets,Other,Homeowner
200,2024-03-18,4337,394.27,253.69,New York,BigQuery,Placement Fee,Other
201,2023-01-13,2432,232.31,159.54,Dallas,RDS,Placement Fee,Homeowner
202,2024-05-08,3078,442.63,296.08,Miami,Excel,Placement Fee,Homeowner
203,2024-12-01,4092,286.12,134.7,Los Angeles,Google Sheets,Placement Fee,Other
204,2023-10-14,1730,60.01,47.99,Bay Area,Excel,Other,Resident
205,2024-12-20,4664,372.52,269.83,Los Angeles,Excel,Other,Resident
206,2023-04-24,3336,99.6,42.83,Seattle,Google Sheets,Management Fee,Resident
207,2024-04-24,4614,405.22,161.1,Bay Area,RDS,Placement Fee,Other
208,2023-01-22,1497,125.65,57.42,Los Angeles,Excel,Management Fee,Other
209,2023-12-15,4817,205.45,108.1,Dallas,Excel,Placement Fee,Homeowner
210,2024-12-26,4545,392.57,284.77,New York,BigQuery,Other,Homeowner
211,2024-11-13,2428,479.4,330.39,Dallas,BigQuery,In-Home Service,Other
212,2024-07-19,1547,217.15,157.57,Miami,RDS,In-Home Service,Homeowner
213,2023-11-16,1960,423.23,,Dallas,Google Sheets,Placement Fee,Homeowner
214,2023-05-06,1131,135.86,81.07,Dallas,Excel,Other,Resident
215,2023-10-04,2347,413.23,182.49,Seattle,RDS,In-Home Service,Other
216,2023-07-23,1857,345.87,122.61,New York,Google Sheets,In-Home Service,Resident
217,2023-07-13,2155,136.73,87.79,Bay Area,BigQuery,In-Home Service,Homeowner
218,2024-11-11,3032,186.13,69.15,Los Angeles,Excel,Other,Homeowner
219,2024-10-25,1520,,69.28,Los Angeles,Excel,In-Home Service,Resident
220,2024-06-30,1029,222.34,138.74,Seattle,Google Sheets,Management Fee,Other
221,2024-11-26,3674,141.64,99.87,Bay Area,RDS,Placement Fee,Homeowner
222,2023-10-13,4372,339.8,125.65,Dallas,Excel,In-Home Service,Other
223,2023-02-26,3051,497.53,344.16,New York,Excel,Other,Resident
224,2023-10-30,4396,55.4,44.3,Seattle,BigQuery,Management Fee,Homeowner
225,2023-06-12,1508,293.41,212.88,Dallas,RDS,In-Home Service,Resident
226,2023-01-19,2260,308.15,208.28,Los Angeles,BigQuery,Management Fee,Other
227,2024-01-05,2558,461.39,291.18,Seattle,Google Sheets,Other,Homeowner
228,2023-09-21,1015,277.7,141.87,New York,Google Sheets,Placement Fee,Other
229,2023-04-23,4605,294.67,196.03,Seattle,RDS,Management Fee,Other
230,2024-05-02,1996,262.24,173.63,Seattle,BigQuery,Placement Fee,Homeowner
231,2023-11-23,2607,171.01,105.3,Los Angeles,Google Sheets,Other,Resident
232,2024-06-25,2839,75.21,52.51,New York,RDS,Management Fee,Homeowner
233,2024-10-08,4517,233.9,122.65,Los Angeles,Google Sheets,Other,Other
234,2024-08-01,3016,73.67,26.57,Miami,Excel,Management Fee,Other
235,2023-03-06,4574,297.72,172.54,New York,Excel,Other,Other
236,2023-10-19,4003,188.28,81.44,Los Angeles,RDS,Other,Homeowner
237,2023-01-25,2253,290.12,142.8,New York,Google Sheets,In-Home Service,Other
238,2024-07-02,4178,110.43,34.09,Los Angeles,RDS,In-Home Service,Homeowner
239,2023-01-01,2743,469.68,230.8,Dallas,RDS,Other,Homeowner
240,2024-07-02,4460,452.53,318.76,Los Angeles,RDS,Management Fee,Other
241,2023-05-21,4791,135.5,77.42,New York,Excel,Management Fee,Other
242,2024-10-09,3310,204.55,62.37,Bay Area,RDS,Management Fee,Other
243,2023-07-07,4634,326.07,174.42,Dallas,Excel,Other,Resident
244,2023-05-08,2088,93.06,41.48,New York,Excel,Placement Fee,Resident
245,2023-07-20,3312,209.56,112.91,New York,Google Sheets,Management Fee,Resident
246,2023-05-07,2361,163.0,81.88,New York,RDS,Placement Fee,Other
247,2023-09-14,4372,461.98,353.87,Miami,Google Sheets,Placement Fee,Other
248,2024-11-06,1377,433.63,139.02,Bay Area,Excel,Other,Resident
249,2024-06-30,2198,,199.55,Miami,RDS,Placement Fee,Homeowner
250,2023-07-13,4010,284.16,206.16,Seattle,Excel,Placement Fee,Resident
251,2024-12-03,4223,468.83,365.51,Seattle,RDS,Placement Fee,Resident
252,2023-04-14,1475,469.59,182.59,Seattle,RDS,Placement Fee,Homeowner
253,2024-06-18,2289,,275.02,Los Angeles,BigQuery,Other,Resident
254,2023-09-22,1328,106.42,34.25,Los Angeles,Google Sheets,Other,Resident
255,2024-01-19,2839,122.25,67.19,Dallas,BigQuery,Placement Fee,Resident
256,2023-09-17,2186,354.53,128.6,Bay Area,RDS,Other,Homeowner
257,2024-02-18,1437,293.65,211.12,Bay Area,BigQuery,Management Fee,Homeowner
258,2023-12-24,4414,58.31,20.81,New York,Excel,Placement Fee,Resident
259,2023-03-16,2390,77.89,43.36,Seattle,RDS,Management Fee,Other
260,2023-12-21,4536,449.64,252.04,Seattle,RDS,Management Fee,Resident
261,2024-08-06,2773,440.99,346.54,New York,RDS,Placement Fee,Homeowner
262,2023-07-07,2222,210.77,132.26,Los Angeles,BigQuery,Management Fee,Homeowner
263,2024-11-15,2523,450.97,200.19,Miami,Google Sheets,Other,Homeowner
264,2023-10-17,3063,317.15,133.33,New York,Google Sheets,Management Fee,Other
265,2023-02-14,2844,412.66,150.26,Bay Area,Google Sheets,Placement Fee,Other
266,2024-07-26,2319,242.34,164.37,Bay Area,BigQuery,Management Fee,Other
267,2023-03-24,1867,101.03,65.2,Miami,Excel,Other,Resident
268,2023-05-03,3558,245.18,148.32,Bay Area,BigQuery,Management Fee,Homeowner
269,2023-12-24,2811,255.78,81.96,Bay Area,Google Sheets,Other,Resident
270,2024-06-11,1983,297.92,203.01,Los Angeles,BigQuery,In-Home Service,Resident
271,2023-03-07,2262,97.51,60.55,Bay Area,Excel,In-Home Service,Other
272,2024-10-18,3628,496.13,387.95,Seattle,RDS,Placement Fee,Resident
273,2024-01-10,2324,159.86,94.89,Seattle,RDS,Placement Fee,Other
274,2023-06-11,3053,139.35,62.98,Dallas,Google Sheets,Placement Fee,Other
275,2024-01-15,4291,287.06,140.88,Los Angeles,Google Sheets,Placement Fee,Homeowner
276,2024-10-17,2018,291.74,113.17,Los Angeles,Excel,Placement Fee,Homeowner
277,2023-12-24,2789,247.92,163.99,Seattle,BigQuery,Other,Resident
278,2023-07-07,4524,397.35,259.81,Los Angeles,Excel,In-Home Service,Resident
279,2023-11-18,4504,282.49,113.09,Los Angeles,Excel,In-Home Service,Homeowner
280,2024-03-25,1806,324.36,123.01,Dallas,RDS,Management Fee,Resident
281,2024-04-18,2893,375.69,127.17,Miami,BigQuery,In-Home Service,Homeowner
282,2023-01-13,2409,61.26,46.31,New York,RDS,Placement Fee,Homeowner
283,2023-07-03,3666,306.79,127.79,Bay Area,RDS,Other,Other
284,2023-04-21,2318,447.89,211.44,Dallas,Excel,Other,Homeowner
285,2024-05-22,2141,57.82,25.46,Miami,RDS,Other,Homeowner
286,2023-10-17,1404,232.33,117.75,Bay Area,Google Sheets,In-Home Service,Other
287,2023-10-22,4751,466.8,306.7,Seattle,Google Sheets,Management Fee,Other
288,2024-03-26,4044,208.92,153.62,Miami,RDS,Placement Fee,Other
289,2023-08-03,2786,256.43,,Bay Area,RDS,Other,Other
290,2024-09-23,1593,491.69,316.26,Dallas,BigQuery,Other,Homeowner
291,2024-07-20,3613,139.7,66.54,Bay Area,Google Sheets,Placement Fee,Homeowner
292,2023-01-27,3799,79.36,62.72,Los Angeles,BigQuery,Management Fee,Homeowner
293,2024-09-21,4949,436.74,196.3,New York,RDS,In-Home Service,Homeowner
294,2023-08-19,1011,440.81,133.83,Bay Area,Google Sheets,Management Fee,Homeowner
295,2024-07-18,4280,262.44,146.39,Seattle,Excel,Placement Fee,Homeowner
296,2023-11-17,3212,281.39,105.62,Dallas,Excel,Placement Fee,Other
297,2023-08-21,3925,426.11,137.31,Miami,RDS,Other,Homeowner
298,2024-10-31,2317,382.35,248.2,Bay Area,BigQuery,In-Home Service,Other
299,2024-03-12,4982,169.32,112.79,Dallas,Excel,Management Fee,Other
300,2024-06-16,2542,57.6,30.55,Seattle,Excel,In-Home Service,Homeowner
301,2024-02-07,3125,265.87,169.74,New York,Google Sheets,Placement Fee,Other
302,2023-02-22,4505  ,436.51,248.43,Miami,BigQuery,Other,Homeowner
303,2023-11-09,4648,453.13,278.63,Bay Area,BigQuery,Other,Resident
304,2023-10-08,1613,480.3,287.39,Seattle,Excel,Management Fee,Other
305,2024-12-26,2986,445.8,282.15,Los Angeles,RDS,Management Fee,Resident
306,2023-01-31,1868,311.02,124.35,Dallas,Excel,In-Home Service,Other
307,2023-12-03,1811,250.07,108.62,Dallas,BigQuery,Placement Fee,Homeowner
308,2023-07-02,2822,,207.31,Bay Area,Google Sheets,Management Fee,Homeowner
309,2023-01-23,4754,,200.29,Seattle,BigQuery,In-Home Service,Homeowner
310,2024-06-27,4148,292.16,200.77,Miami,Google Sheets,Other,Homeowner
311,2024-03-21,4119,89.3,43.19,Miami,Google Sheets,Placement Fee,Other
312,2023-03-15,1766,466.74,177.95,Miami,Google Sheets,Other,Homeowner
313,2023-01-10,1081,255.02,108.57,Miami,BigQuery,Placement Fee,Resident
314,2024-04-28,4966,213.5,86.97,Bay Area,BigQuery,Placement Fee,Other
315,2024-03-31,2744,333.31,221.93,Bay Area,RDS,In-Home Service,Resident
316,2024-07-19,3256,353.23,189.04,Dallas,Excel,Other,Homeowner
317,2024-07-17,4516,144.81,94.75,Seattle,BigQuery,Placement Fee,Homeowner
318,2024-10-21,4667,426.62,216.77,Los Angeles,Google Sheets,Other,Homeowner
319,2023-06-09,1521,180.47,134.43,Bay Area,BigQuery,In-Home Service,Other
320,2023-01-14,4100,134.01,106.1,Miami,BigQuery,Placement Fee,Resident
321,2023-06-27,2327,232.88,147.86,Los Angeles,Excel,In-Home Service,Homeowner
322,2024-02-16,1993,378.75,277.21,Dallas,BigQuery,In-Home Service,Homeowner
323,2023-02-22,3512,484.46,268.37,Miami,Google Sheets,Management Fee,Homeowner
324,2024-02-12,2525,414.18,317.8,New York,Excel,Other,Other
325,2023-01-22,2469,473.16,338.68,Seattle,RDS,In-Home Service,Other
326,2023-01-30,3675,113.27,90.15,Los Angeles,Google Sheets,Management Fee,Homeowner
327,2024-12-03,2513,82.03,50.17,Dallas,Google Sheets,Other,Resident
328,2023-09-17,1780,300.97,207.55,Bay Area,BigQuery,Placement Fee,Homeowner
329,2023-07-24,2451,180.63,103.22,Seattle,RDS,Placement Fee,Other
330,2023-02-28,1558,422.62,181.54,Miami,Excel,In-Home Service,Homeowner
331,2024-04-15,4430,352.39,168.22,Los Angeles,RDS,Placement Fee,Resident
332,2024-04-10,4007,486.83,363.66,Dallas,BigQuery,Other,Other
333,2023-01-12,3138,164.66,54.0,Los Angeles,RDS,Placement Fee,Resident
334,2024-09-22,3037,268.6,160.02,Seattle,Google Sheets,In-Home Service,Resident
335,2023-10-17,4124,275.56,133.99,Bay Area,Google Sheets,Other,Homeowner
336,2023-12-20,2753,157.63,77.77,Bay Area,RDS,Placement Fee,Other
337,2024-09-30,1859,315.54,234.22,New York,RDS,Placement Fee,Other
338,2023-03-16,2612,249.48,181.35,Seattle,Google Sheets,Other,Other
339,2024-12-16,4275,251.02,150.47,Miami,RDS,Other,Resident
340,2024-07-14,1555,213.23,93.07,Los Angeles,Google Sheets,Placement Fee,Other
341,2024-08-13,1155,57.62,30.98,Miami,RDS,Management Fee,Resident
342,2024-03-16,3049,284.94,143.65,Dallas,Excel,Placement Fee,Other
343,2023-08-29,2380,200.86,95.77,Miami,Excel,Other,Homeowner
344,2023-06-03,1824,50.59,17.78,New York,BigQuery,Other,Resident
345,2023-04-06,2592,188.57,107.78,Seattle,Google Sheets,In-Home Service,Homeowner
346,2024-12-26,3849,175.38,79.08,New York,Excel,In-Home Service,Homeowner
